game_id	url	TV	game_date	game_time_et	away_team	home_team	away_team_full_name	home_team_full_name	game_number_this_day	game_number_this_day_and_time	arena	city	away_team_espn_abbr	home_team_espn_abbr
314	https://www.nba.com/game/cha-vs-mia-0022000314		2/1/21	7:30 PM ET	CHA	MIA	Charlotte Hornets	Miami Heat	3	2	AmericanAirlines Arena	"Miami, FL"	cha	mia
315	https://www.nba.com/game/nyk-vs-chi-0022000315		2/1/21	8:00 PM ET	NYK	CHI	New York Knicks	Chicago Bulls	4	1	United Center	"Chicago, IL"	nyk	chi
316	https://www.nba.com/game/por-vs-mil-0022000316	NBC Sports Northwest	2/1/21	8:00 PM ET	POR	MIL	Portland Trail Blazers	Milwaukee Bucks	5	2	Fiserv Forum	"Milwaukee, WI"	por	mil
317	https://www.nba.com/game/sac-vs-nop-0022000317		2/1/21	8:00 PM ET	SAC	NOP	Sacramento Kings	New Orleans Pelicans	6	3	Smoothie King Center	"New Orleans, LA"	sac	no
318	https://www.nba.com/game/hou-vs-okc-0022000318	Fox Sports Oklahoma	2/1/21	8:00 PM ET	HOU	OKC	Houston Rockets	Oklahoma City Thunder	7	4	Chesapeake Energy Arena	"Oklahoma City, OK"	hou	okc
319	https://www.nba.com/game/phx-vs-dal-0022000319	NBA TV	2/1/21	8:30 PM ET	PHX	DAL	Phoenix Suns	Dallas Mavericks	8	1	American Airlines Center	"Dallas, TX"	phx	dal
320	https://www.nba.com/game/mem-vs-sas-0022000320		2/1/21	8:30 PM ET	MEM	SAS	Memphis Grizzlies	San Antonio Spurs	9	2	AT&T Center	"San Antonio, TX"	mem	sas
321	https://www.nba.com/game/det-vs-den-0022000321		2/1/21	9:00 PM ET	DET	DEN	Detroit Pistons	Denver Nuggets	10	1	Ball Arena	"Denver, CO"	det	den
322	https://www.nba.com/game/mem-vs-ind-0022000322		2/2/21	7:00 PM ET	MEM	IND	Memphis Grizzlies	Indiana Pacers	1	1	Bankers Life Fieldhouse	"Indianapolis, IN"	mem	ind
323	https://www.nba.com/game/tor-vs-orl-0022000323		2/2/21	7:00 PM ET	TOR	ORL	Toronto Raptors	Orlando Magic	2	2	Amway Center	"Orlando, FL"	tor	orl
324	https://www.nba.com/game/lac-vs-bkn-0022000324	"TNT, Fox Sports Prime Tic"	2/2/21	7:30 PM ET	LAC	BKN	LA Clippers	Brooklyn Nets	3	1	Barclays Center	"Brooklyn, NY"	lac	bkn
325	https://www.nba.com/game/det-vs-uta-0022000325		2/2/21	9:00 PM ET	DET	UTA	Detroit Pistons	Utah Jazz	4	1	Vivint Smart Home Arena	"Salt Lake City, UT"	det	uth
326	https://www.nba.com/game/bos-vs-gsw-0022000326	TNT	2/2/21	10:00 PM ET	BOS	GSW	Boston Celtics	Golden State Warriors	5	1	Chase Center	"San Francisco, CA"	bos	gsw
327	https://www.nba.com/game/phi-vs-cha-0022000327		2/3/21	7:00 PM ET	PHI	CHA	Philadelphia 76ers	Charlotte Hornets	1	1	Spectrum Center	"Charlotte, NC"	phi	cha
328	https://www.nba.com/game/lac-vs-cle-0022000328	Fox Sports Prime Tic	2/3/21	7:00 PM ET	LAC	CLE	LA Clippers	Cleveland Cavaliers	2	2	Rocket Mortgage FieldHouse	"Cleveland, OH"	lac	cle
329	https://www.nba.com/game/ind-vs-mil-0022000329	ESPN	2/3/21	7:00 PM ET	IND	MIL	Indiana Pacers	Milwaukee Bucks	3	3	Fiserv Forum	"Milwaukee, WI"	ind	mil
330	https://www.nba.com/game/dal-vs-atl-0022000330		2/3/21	7:30 PM ET	DAL	ATL	Dallas Mavericks	Atlanta Hawks	4	1	State Farm Arena	"Atlanta, GA"	dal	atl
331	https://www.nba.com/game/was-vs-mia-0022000331		2/3/21	7:30 PM ET	WAS	MIA	Washington Wizards	Miami Heat	5	2	AmericanAirlines Arena	"Miami, FL"	was	mia
332	https://www.nba.com/game/nyk-vs-chi-0022000332		2/3/21	8:00 PM ET	NYK	CHI	New York Knicks	Chicago Bulls	6	1	United Center	"Chicago, IL"	nyk	chi
333	https://www.nba.com/game/hou-vs-okc-0022000333	Fox Sports Oklahoma	2/3/21	8:00 PM ET	HOU	OKC	Houston Rockets	Oklahoma City Thunder	7	2	Chesapeake Energy Arena	"Oklahoma City, OK"	hou	okc
334	https://www.nba.com/game/min-vs-sas-0022000334		2/3/21	8:30 PM ET	MIN	SAS	Minnesota Timberwolves	San Antonio Spurs	8	1	AT&T Center	"San Antonio, TX"	min	sas
335	https://www.nba.com/game/phx-vs-nop-0022000335	ESPN	2/3/21	9:30 PM ET	PHX	NOP	Phoenix Suns	New Orleans Pelicans	9	1	Smoothie King Center	"New Orleans, LA"	phx	no
336	https://www.nba.com/game/bos-vs-sac-0022000336		2/3/21	10:00 PM ET	BOS	SAC	Boston Celtics	Sacramento Kings	10	1	Golden 1 Center	"Sacramento, CA"	bos	sac
337	https://www.nba.com/game/por-vs-phi-0022000337	NBC Sports Northwest	2/4/21	7:00 PM ET	POR	PHI	Portland Trail Blazers	Philadelphia 76ers	1	1	Wells Fargo Center	"Philadelphia, PA"	por	phi
338	https://www.nba.com/game/uta-vs-atl-0022000338		2/4/21	7:30 PM ET	UTA	ATL	Utah Jazz	Atlanta Hawks	2	1	State Farm Arena	"Atlanta, GA"	uth	atl
339	https://www.nba.com/game/gsw-vs-dal-0022000339	TNT	2/4/21	7:30 PM ET	GSW	DAL	Golden State Warriors	Dallas Mavericks	3	2	American Airlines Center	"Dallas, TX"	gsw	dal
340	https://www.nba.com/game/hou-vs-mem-0022000340		2/4/21	8:00 PM ET	HOU	MEM	Houston Rockets	Memphis Grizzlies	4	1	FedExForum	"Memphis, TN"	hou	mem
341	https://www.nba.com/game/den-vs-lal-0022000341	"TNT, Spectrum SportsNet"	2/4/21	10:00 PM ET	DEN	LAL	Denver Nuggets	Los Angeles Lakers	5	1	Staples Center	"Los Angeles, CA"	den	lal
342	https://www.nba.com/game/uta-vs-cha-0022000342		2/5/21	7:00 PM ET	UTA	CHA	Utah Jazz	Charlotte Hornets	1	1	Spectrum Center	"Charlotte, NC"	uth	cha
343	https://www.nba.com/game/nop-vs-ind-0022000343		2/5/21	7:00 PM ET	NOP	IND	New Orleans Pelicans	Indiana Pacers	2	2	Bankers Life Fieldhouse	"Indianapolis, IN"	no	ind
344	https://www.nba.com/game/chi-vs-orl-0022000344		2/5/21	7:00 PM ET	CHI	ORL	Chicago Bulls	Orlando Magic	3	3	Amway Center	"Orlando, FL"	chi	orl
345	https://www.nba.com/game/tor-vs-bkn-0022000345	ESPN	2/5/21	7:30 PM ET	TOR	BKN	Toronto Raptors	Brooklyn Nets	4	1	Barclays Center	"Brooklyn, NY"	tor	bkn
346	https://www.nba.com/game/mil-vs-cle-0022000346		2/5/21	7:30 PM ET	MIL	CLE	Milwaukee Bucks	Cleveland Cavaliers	5	2	Rocket Mortgage FieldHouse	"Cleveland, OH"	mil	cle
347	https://www.nba.com/game/was-vs-mia-0022000347		2/5/21	8:00 PM ET	WAS	MIA	Washington Wizards	Miami Heat	6	1	AmericanAirlines Arena	"Miami, FL"	was	mia
