row_num,game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,preview_url
712,0022200712,2023-01-23,10:30 pm ET,MEM,SAC,Memphis Grizzlies,Sacramento Kings,https://www.nba.com/game/mem-vs-sac-0022200712
713,0022200713,2023-01-24,7:00 pm ET,CHI,IND,Chicago Bulls,Indiana Pacers,https://www.nba.com/game/chi-vs-ind-0022200713
714,0022200714,2023-01-24,7:30 pm ET,BOS,MIA,Boston Celtics,Miami Heat,https://www.nba.com/game/bos-vs-mia-0022200714
715,0022200715,2023-01-24,7:30 pm ET,CLE,NYK,Cleveland Cavaliers,New York Knicks,https://www.nba.com/game/cle-vs-nyk-0022200715
716,0022200716,2023-01-24,8:00 pm ET,DEN,NOP,Denver Nuggets,New Orleans Pelicans,https://www.nba.com/game/den-vs-nop-0022200716
717,0022200717,2023-01-24,8:30 pm ET,WAS,DAL,Washington Wizards,Dallas Mavericks,https://www.nba.com/game/was-vs-dal-0022200717
718,0022200718,2023-01-24,9:00 pm ET,CHA,PHX,Charlotte Hornets,Phoenix Suns,https://www.nba.com/game/cha-vs-phx-0022200718
719,0022200719,2023-01-24,10:00 pm ET,LAC,LAL,LA Clippers,Los Angeles Lakers,https://www.nba.com/game/lac-vs-lal-0022200719
720,0022200720,2023-01-25,7:00 pm ET,IND,ORL,Indiana Pacers,Orlando Magic,https://www.nba.com/game/ind-vs-orl-0022200720
721,0022200721,2023-01-25,7:30 pm ET,BKN,PHI,Brooklyn Nets,Philadelphia 76ers,https://www.nba.com/game/bkn-vs-phi-0022200721
722,0022200722,2023-01-25,8:00 pm ET,WAS,HOU,Washington Wizards,Houston Rockets,https://www.nba.com/game/was-vs-hou-0022200722
723,0022200723,2023-01-25,8:00 pm ET,DEN,MIL,Denver Nuggets,Milwaukee Bucks,https://www.nba.com/game/den-vs-mil-0022200723
724,0022200724,2023-01-25,8:00 pm ET,MIN,NOP,Minnesota Timberwolves,New Orleans Pelicans,https://www.nba.com/game/min-vs-nop-0022200724
725,0022200725,2023-01-25,8:00 pm ET,ATL,OKC,Atlanta Hawks,Oklahoma City Thunder,https://www.nba.com/game/atl-vs-okc-0022200725
726,0022200726,2023-01-25,10:00 pm ET,MEM,GSW,Memphis Grizzlies,Golden State Warriors,https://www.nba.com/game/mem-vs-gsw-0022200726
727,0022200727,2023-01-25,10:00 pm ET,UTA,POR,Utah Jazz,Portland Trail Blazers,https://www.nba.com/game/uta-vs-por-0022200727
728,0022200728,2023-01-25,10:00 pm ET,TOR,SAC,Toronto Raptors,Sacramento Kings,https://www.nba.com/game/tor-vs-sac-0022200728
729,0022200729,2023-01-25,10:30 pm ET,SAS,LAL,San Antonio Spurs,Los Angeles Lakers,https://www.nba.com/game/sas-vs-lal-0022200729
730,0022200730,2023-01-26,7:30 pm ET,NYK,BOS,New York Knicks,Boston Celtics,https://www.nba.com/game/nyk-vs-bos-0022200730
731,0022200731,2023-01-26,7:30 pm ET,DET,BKN,Detroit Pistons,Brooklyn Nets,https://www.nba.com/game/det-vs-bkn-0022200731
732,0022200732,2023-01-26,7:30 pm ET,CHI,CHA,Chicago Bulls,Charlotte Hornets,https://www.nba.com/game/chi-vs-cha-0022200732
733,0022200733,2023-01-26,8:00 pm ET,CLE,HOU,Cleveland Cavaliers,Houston Rockets,https://www.nba.com/game/cle-vs-hou-0022200733
734,0022200734,2023-01-26,10:00 pm ET,DAL,PHX,Dallas Mavericks,Phoenix Suns,https://www.nba.com/game/dal-vs-phx-0022200734
735,0022200735,2023-01-26,10:30 pm ET,SAS,LAC,San Antonio Spurs,LA Clippers,https://www.nba.com/game/sas-vs-lac-0022200735
736,0022200736,2023-01-27,7:00 pm ET,MIL,IND,Milwaukee Bucks,Indiana Pacers,https://www.nba.com/game/mil-vs-ind-0022200736
737,0022200737,2023-01-27,7:30 pm ET,MEM,MIN,Memphis Grizzlies,Minnesota Timberwolves,https://www.nba.com/game/mem-vs-min-0022200737
738,0022200738,2023-01-27,8:00 pm ET,ORL,MIA,Orlando Magic,Miami Heat,https://www.nba.com/game/orl-vs-mia-0022200738
739,0022200739,2023-01-27,8:00 pm ET,CLE,OKC,Cleveland Cavaliers,Oklahoma City Thunder,https://www.nba.com/game/cle-vs-okc-0022200739
740,0022200740,2023-01-27,10:00 pm ET,TOR,GSW,Toronto Raptors,Golden State Warriors,https://www.nba.com/game/tor-vs-gsw-0022200740
741,0022200741,2023-01-28,3:00 pm ET,DEN,PHI,Denver Nuggets,Philadelphia 76ers,https://www.nba.com/game/den-vs-phi-0022200741
742,0022200742,2023-01-28,5:30 pm ET,NYK,BKN,New York Knicks,Brooklyn Nets,https://www.nba.com/game/nyk-vs-bkn-0022200742
