game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900001,2019-10-22,8:00 PM,NOP,TOR,New Orleans Pelicans,Toronto Raptors,1,1,no,tor
game_0021900002,2019-10-22,10:30 PM,LAL,LAC,Los Angeles Lakers,LA Clippers,2,1,lal,lac
game_0021900003,2019-10-23,7:00 PM,CHI,CHA,Chicago Bulls,Charlotte Hornets,1,1,chi,cha
game_0021900005,2019-10-23,7:00 PM,CLE,ORL,Cleveland Cavaliers,Orlando Magic,2,2,cle,orl
game_0021900004,2019-10-23,7:00 PM,DET,IND,Detroit Pistons,Indiana Pacers,3,3,det,ind
game_0021900008,2019-10-23,7:30 PM,BOS,PHI,Boston Celtics,Philadelphia 76ers,4,1,bos,phi
game_0021900007,2019-10-23,7:30 PM,MEM,MIA,Memphis Grizzlies,Miami Heat,5,2,mem,mia
game_0021900006,2019-10-23,7:30 PM,MIN,BKN,Minnesota Timberwolves,Brooklyn Nets,6,3,min,bkn
game_0021900010,2019-10-23,8:30 PM,NYK,SAS,New York Knicks,San Antonio Spurs,7,1,nyk,sas
game_0021900009,2019-10-23,8:30 PM,WAS,DAL,Washington Wizards,Dallas Mavericks,8,2,was,dal
game_0021900011,2019-10-23,9:00 PM,OKC,UTA,Oklahoma City Thunder,Utah Jazz,9,1,okc,uth
game_0021900013,2019-10-23,10:00 PM,DEN,POR,Denver Nuggets,Portland Trail Blazers,10,1,den,por
game_0021900012,2019-10-23,10:00 PM,SAC,PHX,Sacramento Kings,Phoenix Suns,11,2,sac,phx
game_0021900014,2019-10-24,7:00 PM,ATL,DET,Atlanta Hawks,Detroit Pistons,1,1,atl,det
game_0021900015,2019-10-24,8:00 PM,MIL,HOU,Milwaukee Bucks,Houston Rockets,2,1,mil,hou
game_0021900016,2019-10-24,10:30 PM,LAC,GSW,LA Clippers,Golden State Warriors,3,1,lac,gsw
game_0021900018,2019-10-25,7:00 PM,MIN,CHA,Minnesota Timberwolves,Charlotte Hornets,1,1,min,cha
game_0021900017,2019-10-25,7:00 PM,TOR,BOS,Toronto Raptors,Boston Celtics,2,2,tor,bos
game_0021900019,2019-10-25,7:30 PM,NYK,BKN,New York Knicks,Brooklyn Nets,3,1,nyk,bkn
game_0021900020,2019-10-25,8:00 PM,CHI,MEM,Chicago Bulls,Memphis Grizzlies,4,1,chi,mem
game_0021900021,2019-10-25,8:00 PM,DAL,NOP,Dallas Mavericks,New Orleans Pelicans,5,2,dal,no
game_0021900022,2019-10-25,8:00 PM,WAS,OKC,Washington Wizards,Oklahoma City Thunder,6,3,was,okc
game_0021900023,2019-10-25,9:00 PM,PHX,DEN,Phoenix Suns,Denver Nuggets,7,1,phx,den
game_0021900024,2019-10-25,10:00 PM,POR,SAC,Portland Trail Blazers,Sacramento Kings,8,1,por,sac
game_0021900025,2019-10-25,10:30 PM,UTA,LAL,Utah Jazz,Los Angeles Lakers,9,1,uth,lal
game_0021900026,2019-10-26,5:00 PM,MIA,MIL,Miami Heat,Milwaukee Bucks,1,1,mia,mil
game_0021900027,2019-10-26,7:00 PM,PHI,DET,Philadelphia 76ers,Detroit Pistons,2,1,phi,det
game_0021900029,2019-10-26,7:30 PM,BOS,NYK,Boston Celtics,New York Knicks,3,1,bos,nyk
game_0021900028,2019-10-26,7:30 PM,ORL,ATL,Orlando Magic,Atlanta Hawks,4,2,orl,atl
