row_num,game_id,game_url,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,tv,local_tv,radio,arena,city,away_team_espn_abbr,home_team_espn_abbr
1090,0022301059,https://www.nba.com/game/phx-vs-den-0022301059,2024-03-27,10:00 pm,PHX,DEN,Phoenix Suns,Denver Nuggets,12,1,ESPN,ESPN Radio|Altitude Sports Radio 92.5 FM|KMVP 98.7 / S: KSUN,Altitude|AZ Family 3TV / AZ Family Sports Network 44,,,phx,den
1091,0022301060,https://www.nba.com/game/bos-vs-atl-0022301060,2024-03-28,7:30 pm,BOS,ATL,Boston Celtics,Atlanta Hawks,1,1,LEAGUE PASS,WZGC|98.5 The Sports Hub,Bally Sports SE-ATL|NBC Sports Boston,,,bos,atl
1092,0022301061,https://www.nba.com/game/mil-vs-nop-0022301061,2024-03-28,8:00 pm,MIL,NOP,Milwaukee Bucks,New Orleans Pelicans,2,1,NBA TV,WRNO 99.5FM|620 AM/103.3 FM WTMJ,Bally Sports New Orleans|Bally Sports WI,,,mil,no
1093,0022301062,https://www.nba.com/game/gsw-vs-cha-0022301062,2024-03-29,7:00 pm,GSW,CHA,Golden State Warriors,Charlotte Hornets,1,1,LEAGUE PASS,WFNZ 92.7 FM|95.7 The Game,Bally Sports SE-CHA|NBC Sports Bay Area,,,gsw,cha
1094,0022301063,https://www.nba.com/game/lal-vs-ind-0022301063,2024-03-29,7:00 pm,LAL,IND,Los Angeles Lakers,Indiana Pacers,2,2,LEAGUE PASS,93.5/107.5 The Fan|ESPN LA 710/1330 KWKW,Bally Sports Indiana|Spectrum SportsNet,,,lal,ind
1095,0022301064,https://www.nba.com/game/lac-vs-orl-0022301064,2024-03-29,7:00 pm,LAC,ORL,LA Clippers,Orlando Magic,3,3,LEAGUE PASS,WYGM 96.9FM / 740AM|AM 570 KLAC/S: KWKW,Bally Sports Florida|Bally Sports SoCal,,,lac,orl
1096,0022301065,https://www.nba.com/game/det-vs-was-0022301065,2024-03-29,7:00 pm,DET,WAS,Detroit Pistons,Washington Wizards,4,4,LEAGUE PASS,The Team 980 AM / WFED 1500 AM|97.1 FM The Ticket,MNMT|Bally Sports DET,,,det,was
1097,0022301066,https://www.nba.com/game/chi-vs-bkn-0022301066,2024-03-29,7:30 pm,CHI,BKN,Chicago Bulls,Brooklyn Nets,5,1,LEAGUE PASS,101.9 FM / 660 AM|670 The Score,YES|NBC Sports Chicago,,,chi,bkn
1098,0022301067,https://www.nba.com/game/phi-vs-cle-0022301067,2024-03-29,7:30 pm,PHI,CLE,Philadelphia 76ers,Cleveland Cavaliers,6,2,NBA TV,WTAM/WMMS/La Mega|97.5 The Fanatic,Bally Sports Ohio|NBC Sports Philadelphia,,,phi,cle
1099,0022301068,https://www.nba.com/game/por-vs-mia-0022301068,2024-03-29,8:00 pm,POR,MIA,Portland Trail Blazers,Miami Heat,7,1,LEAGUE PASS,WQAM 560 / S: WAQI 710|Rip City Radio 620,Bally Sports Sun|ROOT SPORTS/ROOT SPORTS Plus,,,por,mia
1100,0022301069,https://www.nba.com/game/phx-vs-okc-0022301069,2024-03-29,8:00 pm,PHX,OKC,Phoenix Suns,Oklahoma City Thunder,8,2,LEAGUE PASS,WWLS/WKY|ESPN 620 / S: KSUN,Bally Sports OK|AZ Family Sports Network 44,,,phx,okc
1101,0022301070,https://www.nba.com/game/nyk-vs-sas-0022301070,2024-03-29,8:00 pm,NYK,SAS,New York Knicks,San Antonio Spurs,9,3,LEAGUE PASS,WOAI/KXTN|ESPN NY 98.7,Bally Sports SW-SA|MSG,,,nyk,sas
1102,0022301071,https://www.nba.com/game/min-vs-den-0022301071,2024-03-29,9:00 pm,MIN,DEN,Minnesota Timberwolves,Denver Nuggets,10,1,LEAGUE PASS,Altitude Sports Radio 92.5 FM,Altitude|Bally Sports North,,,min,den
1103,0022301072,https://www.nba.com/game/hou-vs-uta-0022301072,2024-03-29,9:30 pm,HOU,UTA,Houston Rockets,Utah Jazz,11,1,LEAGUE PASS,KSL 1160 AM & 102.7 FM / S: KBMG 106.3 FM|790 AM / S: 93.3 FM,KJZZ|Space City Home Network,,,hou,uth
1104,0022301073,https://www.nba.com/game/dal-vs-sac-0022301073,2024-03-29,10:00 pm,DAL,SAC,Dallas Mavericks,Sacramento Kings,12,1,NBA TV,Sactown Sports 1140 AM|97.1 FM / S: 99.1 FM,NBCSCA|Bally Sports SW-DAL,,,dal,sac
1105,0022301074,https://www.nba.com/game/bos-vs-nop-0022301074,2024-03-30,5:00 pm,BOS,NOP,Boston Celtics,New Orleans Pelicans,1,1,NBA TV,WRNO 99.5FM|ROCK 92.9,Bally Sports New Orleans|NBC Sports Boston,,,bos,no
1106,0022301075,https://www.nba.com/game/mem-vs-orl-0022301075,2024-03-30,7:00 pm,MEM,ORL,Memphis Grizzlies,Orlando Magic,2,1,LEAGUE PASS,WYGM 96.9FM / 740AM|ESPN 92.9FM/680AM,Bally Sports Florida|Bally Sports SE-MEM,,,mem,orl
1107,0022301076,https://www.nba.com/game/mil-vs-atl-0022301076,2024-03-30,7:30 pm,MIL,ATL,Milwaukee Bucks,Atlanta Hawks,3,1,NBA TV,WZGC|620 AM/103.3 FM WTMJ,Bally Sports SE-ATL|Bally Sports WI,,,mil,atl
1108,0022301077,https://www.nba.com/game/cle-vs-den-0022301077,2024-03-31,3:30 pm,CLE,DEN,Cleveland Cavaliers,Denver Nuggets,1,1,NBA TV,Altitude Sports Radio 92.5 FM|WTAM/WMMS/La Mega,Altitude|Bally Sports Ohio,,,cle,den
1109,0022301078,https://www.nba.com/game/lal-vs-bkn-0022301078,2024-03-31,6:00 pm,LAL,BKN,Los Angeles Lakers,Brooklyn Nets,2,1,LEAGUE PASS,101.9 FM / 660 AM|ESPN LA 710/1330 KWKW,YES|Spectrum SportsNet,,,lal,bkn
1110,0022301079,https://www.nba.com/game/lac-vs-cha-0022301079,2024-03-31,6:00 pm,LAC,CHA,LA Clippers,Charlotte Hornets,3,2,LEAGUE PASS,WFNZ 92.7 FM|AM 570 KLAC/S: KWKW,Bally Sports SE-CHA|Bally Sports SoCal,,,lac,cha
1111,0022301080,https://www.nba.com/game/phi-vs-tor-0022301080,2024-03-31,6:00 pm,PHI,TOR,Philadelphia 76ers,Toronto Raptors,4,3,LEAGUE PASS,Sportsnet 590|97.5 The Fanatic,TSN|NBC Sports Philadelphia,,,phi,tor
1112,0022301081,https://www.nba.com/game/mia-vs-was-0022301081,2024-03-31,6:00 pm,MIA,WAS,Miami Heat,Washington Wizards,5,4,LEAGUE PASS,The Team 980 AM / WFED 1500 AM|WQAM 560 / S: WAQI 710,MNMT|Bally Sports Sun,,,mia,was
1113,0022301082,https://www.nba.com/game/okc-vs-nyk-0022301082,2024-03-31,7:00 pm,OKC,NYK,Oklahoma City Thunder,New York Knicks,6,1,LEAGUE PASS,ESPN NY 98.7|WWLS 98.1FM OKC,MSG|Bally Sports OK,,,okc,nyk
1114,0022301083,https://www.nba.com/game/dal-vs-hou-0022301083,2024-03-31,7:00 pm,DAL,HOU,Dallas Mavericks,Houston Rockets,7,2,LEAGUE PASS,790 AM / S: 93.3 FM|97.1 FM / S: 99.1 FM,Space City Home Network|Bally Sports SW-DAL,,,dal,hou
1115,0022301084,https://www.nba.com/game/chi-vs-min-0022301084,2024-03-31,7:00 pm,CHI,MIN,Chicago Bulls,Minnesota Timberwolves,8,3,LEAGUE PASS,670 The Score,Bally Sports North|NBC Sports Chicago,,,chi,min
1116,0022301085,https://www.nba.com/game/gsw-vs-sas-0022301085,2024-03-31,7:00 pm,GSW,SAS,Golden State Warriors,San Antonio Spurs,9,4,NBA TV,WOAI/KXTN|95.7 The Game,Bally Sports SW-SA|NBC Sports Bay Area,,,gsw,sas
1117,0022301086,https://www.nba.com/game/uta-vs-sac-0022301086,2024-03-31,9:00 pm,UTA,SAC,Utah Jazz,Sacramento Kings,10,1,LEAGUE PASS,Sactown Sports 1140 AM|KSL 97.5 FM / S: KBMG 106.3 FM,NBCSCA|KJZZ,,,uth,sac
